R,G,B
0,0,72
0,0,72
0,4,72
0,4,72
0,4,64
0,4,56
0,4,64
0,4,64
0,4,80
0,0,80
0,8,72
0,4,72
0,8,80
0,8,80
0,4,80
0,4,80
0,4,72
0,4,72
0,8,80
0,4,80
0,4,80
0,4,80
0,4,88
0,0,88
0,0,96
0,4,96
0,8,88
0,8,88
0,4,96
0,4,96
0,4,96
0,8,104
0,0,104
0,0,112
0,8,112
0,8,112
0,4,112
0,4,112
0,4,120
0,4,120
0,4,128
0,4,128
0,4,136
0,4,136
0,4,136
0,8,136
0,4,144
0,8,144
0,4,160
0,4,160
0,8,160
0,8,168
0,8,168
0,8,168
0,4,176
0,4,176
0,12,184
0,12,184
0,8,184
0,8,192
0,8,192
0,8,200
0,4,200
0,8,200
0,12,200
0,8,200
0,8,208
0,8,208
0,8,208
0,8,208
0,8,216
0,4,216
0,8,216
0,8,224
0,12,216
0,12,216
0,12,232
0,12,232
0,8,232
0,12,232
0,8,240
0,8,240
0,8,232
0,8,232
0,12,232
0,8,224
0,8,232
0,8,232
0,4,232
0,8,232
0,8,216
0,12,216
0,8,216
0,8,216
0,8,216
0,8,216
0,8,216
0,12,224
0,8,216
0,8,216
0,8,208
0,8,208
0,8,200
0,8,200
0,4,192
0,8,192
0,8,184
0,8,184
0,8,168
0,12,168
0,12,168
0,8,168
0,12,168
0,12,168
0,12,160
0,16,160
0,12,160
0,8,152
0,12,152
0,8,152
0,12,144
0,12,144
0,12,136
0,12,136
0,12,128
0,12,136
8,12,128
8,12,128
0,12,120
0,12,120
0,12,112
0,12,112
0,12,104
0,12,104
0,12,104
0,12,96
0,8,96
0,8,104
0,12,96
0,12,96
0,8,96
0,8,96
0,8,80
0,8,80
0,4,96
0,8,104
0,4,80
0,8,80
0,8,80
0,8,80
0,8,80
0,8,80
0,8,80
0,8,80
0,8,72
0,8,72
0,4,64
0,4,64
0,0,64
0,4,64
0,8,72
0,8,72
0,8,72
0,8,80
0,4,80
0,4,80
0,4,88
0,4,88
0,8,88
0,8,88
0,8,80
0,8,80
0,8,80
0,12,80
0,8,80
0,8,80
0,8,80
0,8,88
0,8,88
0,12,88
0,8,88
0,8,88
8,8,96
8,8,96
0,8,88
0,8,88
0,4,96
8,8,104
0,8,104
0,12,104
8,12,104
8,12,104
8,12,112
8,12,112
8,12,120
8,16,120
8,8,120
8,12,128
8,16,136
16,16,136
16,20,144
16,20,144
16,16,144
16,16,144
16,20,160
16,20,160
8,16,160
16,20,160
16,16,176
16,16,176
16,20,176
16,20,176
16,24,192
16,28,192
16,24,200
16,24,200
16,24,200
16,24,200
16,28,200
16,24,200
16,24,208
16,28,216
24,28,232
16,28,224
24,32,224
24,32,232
24,32,240
24,32,240
24,32,232
24,32,232
24,28,232
24,32,240
24,36,240
24,32,240
24,36,232
24,36,232
24,36,240
24,40,240
24,36,240
24,36,240
24,36,240
24,40,240
24,36,240
24,36,240
16,36,240
24,36,248
24,36,248
24,36,248
24,36,248
24,32,240
24,32,232
24,32,240
24,32,240
24,28,240
24,36,232
24,32,232
24,32,224
16,32,224
24,32,216
24,36,224
16,28,224
16,28,224
16,32,224
16,28,216
24,32,216
16,24,208
24,24,200
24,28,208
16,28,200
24,24,200
24,28,192
24,32,192
24,36,184
16,32,184
24,28,176
24,28,176
24,24,168
24,24,168
24,32,160
24,28,152
24,28,160
24,28,160
24,28,144
24,24,144
16,24,144
16,24,152
24,20,144
24,24,144
16,24,136
16,24,136
16,20,136
16,20,136
16,20,128
8,20,128
16,20,112
16,20,112
16,20,112
8,16,112
8,20,104
16,20,104
16,16,104
8,16,96
8,8,96
8,12,104
16,16,104
8,12,96
8,12,88
8,16,96
0,12,88
8,12,88
8,8,96
8,8,88
8,8,88
8,12,88
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
0,4,80
0,8,72
0,8,72
0,4,80
8,4,80
8,8,80
8,8,80
0,8,80
0,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,88
0,12,88
8,12,88
8,8,88
8,8,88
8,8,88
8,8,88
8,8,96
8,8,96
8,8,96
8,12,96
8,12,96
8,12,104
8,12,112
8,12,112
8,8,120
8,12,112
8,12,120
8,12,120
8,12,128
16,12,128
16,12,128
16,16,128
16,16,128
16,16,128
16,12,144
16,12,144
16,12,160
16,16,160
16,16,160
16,16,160
16,16,168
16,16,168
16,16,168
16,16,168
16,20,176
16,20,176
16,16,184
16,20,184
16,20,192
16,20,192
16,20,200
16,24,200
24,20,200
24,20,208
24,20,216
24,20,216
16,24,216
16,24,216
16,20,224
16,20,224
24,24,216
24,24,224
24,20,224
24,24,224
24,24,224
24,24,224
24,24,224
24,28,224
24,24,224
24,28,224
24,28,232
24,28,232
16,28,232
24,24,232
16,24,232
